,Gender,Age,Height,Built,State,District,Area,Railway
1205,MALE,5,86.23255813953489,2,DELHI,SULTANPURI,CENTRAL,False
1206,MALE,19,153.0,3,DELHI,SHAHDARA,NORTH EAST,False
1207,MALE,18,153.0,2,DELHI,PRASHANT VIHAR,CENTRAL,False
1208,MALE,17,153.0,5,DELHI,SANGAM VIHAR,SOUTH EAST,False
1209,MALE,30,153.0,2,DELHI,RANHOLA,WEST,False
1210,MALE,14,122.0,3,DELHI,BURARI,NORTH,False
1211,MALE,28,153.0,3,DELHI,SHAKARPUR,EAST,False
1212,MALE,42,153.0,3,DELHI,BURARI,NORTH,False
1213,MALE,20,153.0,3,DELHI,PALAM VILLAGE,SOUTH WEST,False
1214,MALE,52,153.0,3,DELHI,KRISHNA NAGAR,EAST,False
1215,MALE,30,153.0,3,DELHI,MEHRAULI,SOUTH WEST,False
1216,MALE,21,153.0,2,DELHI,KHAJURI KHAS,NORTH EAST,False
1217,MALE,34,153.0,5,DELHI,KALYANPURI,EAST,False
1218,MALE,46,153.0,2,DELHI,SWAROOP NAGAR,NORTH WEST,False
1219,MALE,24,153.0,2,DELHI,VIJAY VIHAR,CENTRAL,False
1220,MALE,50,153.0,3,DELHI,KHAJURI KHAS,NORTH EAST,False
1221,MALE,32,153.0,3,DELHI,MOTI NAGAR,WEST,False
1222,MALE,18,153.0,2,DELHI,KESHAV PURAM,NORTH WEST,False
1223,MALE,75,122.0,3,DELHI,SULTANPURI,CENTRAL,False
1224,MALE,60,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1225,MALE,16,153.0,2,DELHI,MEHRAULI,SOUTH WEST,False
1226,MALE,50,153.0,3,DELHI,NAND NAGRI,NORTH EAST,False
1227,MALE,45,153.0,5,DELHI,PRASAD NAGAR,CENTRAL,False
1228,MALE,40,153.0,5,DELHI,KHAJURI KHAS,NORTH EAST,False
1229,MALE,27,153.0,2,DELHI,UTTAM NAGAR,WEST,False
1230,MALE,17,153.0,2,DELHI,YAMUNA VHR,NORTH EAST,True
1231,MALE,30,153.0,3,DELHI,SAMAIPUR BADLI,CENTRAL,False
1232,MALE,21,153.0,3,DELHI,BURARI,NORTH,False
1233,MALE,28,153.0,5,DELHI,NARELA,NORTH,True
1234,MALE,22,153.0,2,DELHI,AMBEDKAR NAGAR,SOUTH EAST,False
1235,MALE,21,153.0,3,DELHI,SARITA VIHAR,SOUTH EAST,False
1236,MALE,25,153.0,3,DELHI,BURARI,NORTH,False
1237,MALE,55,153.0,6,DELHI,KIRTI NAGAR,WEST,False
1238,MALE,19,122.0,2,DELHI,NEW ASHOK NAGAR,EAST,False
1239,MALE,29,153.0,3,DELHI,VASANT VIHAR,SOUTH,False
1240,MALE,15,153.0,2,DELHI,JANAK PURI,WEST,False
1241,MALE,5,86.23255813953489,2,DELHI,K.N. KATJU MARG,CENTRAL,False
1242,MALE,40,153.0,2,DELHI,DWARKA NORTH,SOUTH WEST,False
1243,MALE,45,153.0,3,DELHI,CHHAWALA,SOUTH WEST,False
1245,MALE,25,153.0,3,DELHI,SUBZI MANDI,NORTH,True
1246,MALE,22,153.0,2,DELHI,AMBEDKAR NAGAR,SOUTH EAST,False
1247,MALE,34,153.0,3,DELHI,KANJHAWALA,NORTH WEST,False
1248,MALE,19,153.0,2,DELHI,MAHENDRA PARK,NORTH WEST,False
1249,MALE,19,153.0,2,DELHI,G.T.B. ENCLAVE,NORTH EAST,False
1250,MALE,20,153.0,3,DELHI,FATEHPUR BERI,SOUTH,False
1251,MALE,55,153.0,5,DELHI,SHAHBAD DAIRY,CENTRAL,False
1252,MALE,19,153.0,2,DELHI,MAYUR VIHAR PH- I,EAST,False
